hop	package	version	architecture	component	suite	pocket	filename	relative_pool_path	size_bytes	sha256	original_url	acquisition_source	seed_local_path	profile	provenance
jammy-to-noble	libcurl4t64	8.5.0-2ubuntu10.13	amd64	main	noble-updates	updates	libcurl4t64_8.5.0-2ubuntu10.13_amd64.deb	pool/main/c/curl/libcurl4t64_8.5.0-2ubuntu10.13_amd64.deb	342772	92347d034fdae018d67cab3cbe976255ec0ba936f57923241974bf3787addf04	http://archive.ubuntu.com/ubuntu/pool/main/c/curl/libcurl4t64_8.5.0-2ubuntu10.13_amd64.deb	downloaded		aws	profile=aws
jammy-to-noble	vim	9.1.0016-1ubuntu7.20	amd64	main	noble-updates	updates	vim_9.1.0016-1ubuntu7.20_amd64.deb	pool/main/v/vim/vim_9.1.0016-1ubuntu7.20_amd64.deb	1884208	fdfa220aa0a6b602c8d64a73f4ed36afdb9b30bf10eb5db4da233c60a42f77f0	http://archive.ubuntu.com/ubuntu/pool/main/v/vim/vim_9.1.0016-1ubuntu7.20_amd64.deb	downloaded		aws	profile=aws
jammy-to-noble	vim-tiny	9.1.0016-1ubuntu7.20	amd64	main	noble-updates	updates	vim-tiny_9.1.0016-1ubuntu7.20_amd64.deb	pool/main/v/vim/vim-tiny_9.1.0016-1ubuntu7.20_amd64.deb	806334	c34fc5f03822e36ac2812d8d59eeb20aaeb5b018491b049f5d94285991c36cb2	http://archive.ubuntu.com/ubuntu/pool/main/v/vim/vim-tiny_9.1.0016-1ubuntu7.20_amd64.deb	downloaded		aws	profile=aws
jammy-to-noble	vim-runtime	9.1.0016-1ubuntu7.20	all	main	noble-updates	updates	vim-runtime_9.1.0016-1ubuntu7.20_all.deb	pool/main/v/vim/vim-runtime_9.1.0016-1ubuntu7.20_all.deb	7273294	c6956fd0fcf9cfc7d27265454e224329a2aa05af9860844b22e1b7974b01a9dc	http://archive.ubuntu.com/ubuntu/pool/main/v/vim/vim-runtime_9.1.0016-1ubuntu7.20_all.deb	downloaded		aws	profile=aws
jammy-to-noble	libpython3.12t64	3.12.3-1ubuntu0.16	amd64	main	noble-updates	updates	libpython3.12t64_3.12.3-1ubuntu0.16_amd64.deb	pool/main/p/python3.12/libpython3.12t64_3.12.3-1ubuntu0.16_amd64.deb	2339386	848e28356b9cc0eb58a1c186e692f1775cb3183d047ed09e07edc8c31c14f46b	http://archive.ubuntu.com/ubuntu/pool/main/p/python3.12/libpython3.12t64_3.12.3-1ubuntu0.16_amd64.deb	downloaded		aws	profile=aws
jammy-to-noble	xxd	9.1.0016-1ubuntu7.20	amd64	main	noble-updates	updates	xxd_9.1.0016-1ubuntu7.20_amd64.deb	pool/main/v/vim/xxd_9.1.0016-1ubuntu7.20_amd64.deb	66190	abe2a776ec6472e6b9b0a8497d3c2e8007f9863092dfd1448f4a68d0c25af750	http://archive.ubuntu.com/ubuntu/pool/main/v/vim/xxd_9.1.0016-1ubuntu7.20_amd64.deb	downloaded		aws	profile=aws
jammy-to-noble	vim-common	9.1.0016-1ubuntu7.20	all	main	noble-updates	updates	vim-common_9.1.0016-1ubuntu7.20_all.deb	pool/main/v/vim/vim-common_9.1.0016-1ubuntu7.20_all.deb	388550	c5d612fc90715eb91bf887601d2e3f96c936cec5cd6c1d17eec17bfc4fe57f37	http://archive.ubuntu.com/ubuntu/pool/main/v/vim/vim-common_9.1.0016-1ubuntu7.20_all.deb	downloaded		aws	profile=aws
jammy-to-noble	libarchive13t64	3.7.2-2ubuntu0.8	amd64	main	noble-updates	updates	libarchive13t64_3.7.2-2ubuntu0.8_amd64.deb	pool/main/liba/libarchive/libarchive13t64_3.7.2-2ubuntu0.8_amd64.deb	382584	ba9684092d71656a3bfd909518c76cc15eefeef9cbac0a36a8cef5632c62f56f	http://archive.ubuntu.com/ubuntu/pool/main/liba/libarchive/libarchive13t64_3.7.2-2ubuntu0.8_amd64.deb	downloaded		aws	profile=aws
jammy-to-noble	node-xtend	4.0.2-3	all	universe	noble-updates	updates	node-xtend_4.0.2-3_all.deb	pool/universe/n/node-xtend/node-xtend_4.0.2-3_all.deb	3902	a7b7837e53fdb68ede3ab11a1efdf4147da55b64b3a780c897082944c3f06b92	http://archive.ubuntu.com/ubuntu/pool/universe/n/node-xtend/node-xtend_4.0.2-3_all.deb	downloaded		aws	profile=aws
jammy-to-noble	grub-pc	2.12-1ubuntu7.3	amd64	main	noble-updates	updates	grub-pc_2.12-1ubuntu7.3_amd64.deb	pool/main/g/grub2/grub-pc_2.12-1ubuntu7.3_amd64.deb	137104	68fc1d0e4d883262884bde20f4bcd559fb9cdf1af3277666eed46eb8be7865bd	http://archive.ubuntu.com/ubuntu/pool/main/g/grub2/grub-pc_2.12-1ubuntu7.3_amd64.deb	downloaded		aws	profile=aws
